transaction_id,transaction_date,observed_through_date,transaction_amt,product_cd,card_type,card_category,days_to_report_or_censoring,reported_fraud,_true_is_fraud
3377127,2018-03-24,2018-04-17,31.177,C,visa,debit,24.0,0,0
3382889,2018-03-26,2018-04-17,97.0,W,mastercard,credit,22.0,0,0
3435950,2018-04-12,2018-04-17,58.95,W,mastercard,debit,5.0,0,0
3417959,2018-04-05,2018-04-17,864.0,W,visa,debit,12.0,0,0
3010732,2017-12-07,2018-04-17,117.0,W,visa,credit,131.0,0,0
3418182,2018-04-06,2018-04-17,49.0,W,visa,debit,11.0,0,0
3229650,2018-02-05,2018-04-17,59.0,W,visa,debit,71.0,0,0
3007589,2017-12-07,2018-04-17,209.95,W,visa,debit,131.0,0,0
3398054,2018-03-31,2018-04-17,24.168,C,visa,debit,9.0,1,1
3437405,2018-04-12,2018-04-17,31.95,W,visa,credit,5.0,0,0
3114548,2017-12-30,2018-04-17,213.0,W,mastercard,debit,108.0,0,0
3109290,2017-12-28,2018-04-17,20.0,S,mastercard,debit,110.0,0,0
3184581,2018-01-21,2018-04-17,49.0,W,visa,debit,86.0,0,0
3393772,2018-03-29,2018-04-17,59.0,W,visa,debit,19.0,0,0
3054812,2017-12-18,2018-04-17,108.95,W,visa,debit,120.0,0,0
3008827,2017-12-07,2018-04-17,200.0,H,visa,credit,131.0,0,0
3137768,2018-01-05,2018-04-17,463.95,W,discover,credit,102.0,0,0
3117214,2017-12-30,2018-04-17,90.95,W,mastercard,debit,108.0,0,0
3069440,2017-12-21,2018-04-17,100.0,R,mastercard,credit,117.0,0,0
3095561,2017-12-25,2018-04-17,400.0,R,visa,credit,113.0,0,0
3353730,2018-03-16,2018-04-17,584.0,W,visa,debit,32.0,0,0
3231438,2018-02-06,2018-04-17,31.5,W,visa,debit,70.0,0,0
3044711,2017-12-16,2018-04-17,107.95,W,visa,credit,122.0,0,0
3258531,2018-02-15,2018-04-17,75.0,R,visa,debit,61.0,0,0
3188229,2018-01-23,2018-04-17,117.0,W,visa,debit,84.0,0,0
3092745,2017-12-25,2018-04-17,25.0,H,visa,debit,113.0,0,0
3104422,2017-12-27,2018-04-17,35.95,W,visa,debit,111.0,0,0
3405392,2018-04-02,2018-04-17,34.0,W,visa,debit,15.0,0,0
3410562,2018-04-04,2018-04-17,107.95,W,visa,debit,13.0,0,0
3329501,2018-03-08,2018-04-17,59.0,W,mastercard,debit,40.0,0,0
3436766,2018-04-12,2018-04-17,171.0,W,visa,debit,5.0,0,0
3325893,2018-03-07,2018-04-17,57.95,W,mastercard,debit,41.0,0,0
3051297,2017-12-17,2018-04-17,300.0,R,visa,credit,121.0,0,0
3118446,2017-12-31,2018-04-17,150.0,R,mastercard,debit,107.0,0,0
3183320,2018-01-21,2018-04-17,150.0,R,discover,credit,86.0,0,0
3323344,2018-03-06,2018-04-17,8.338,C,visa,debit,42.0,0,0
3418156,2018-04-06,2018-04-17,59.0,W,discover,credit,11.0,0,0
3174679,2018-01-18,2018-04-17,83.43,W,mastercard,debit,89.0,0,0
3357384,2018-03-17,2018-04-17,59.0,W,visa,debit,31.0,0,0
3433706,2018-04-11,2018-04-17,107.95,W,mastercard,debit,6.0,0,0
3002985,2017-12-05,2018-04-17,10.0,W,mastercard,debit,133.0,0,0
3191399,2018-01-24,2018-04-17,804.95,W,mastercard,debit,83.0,0,0
3139636,2018-01-06,2018-04-17,24.02,C,mastercard,credit,101.0,0,0
3059540,2017-12-19,2018-04-17,288.24,W,visa,credit,119.0,0,0
3083578,2017-12-23,2018-04-17,75.0,H,mastercard,debit,115.0,0,0
3235147,2018-02-07,2018-04-17,335.0,W,mastercard,debit,54.2,1,1
3063525,2017-12-20,2018-04-17,62.95,W,mastercard,credit,118.0,0,0
3361479,2018-03-18,2018-04-17,171.0,W,mastercard,credit,30.0,0,0
3019339,2017-12-10,2018-04-17,33.697,C,mastercard,credit,38.3,1,1
2990203,2017-12-02,2018-04-17,504.95,W,visa,debit,136.0,0,0
3378783,2018-03-24,2018-04-17,10.99,W,mastercard,debit,24.0,0,0
3368638,2018-03-21,2018-04-17,25.95,W,mastercard,debit,27.0,0,0
2994296,2017-12-03,2018-04-17,86.95,W,visa,debit,135.0,0,0
3426008,2018-04-08,2018-04-17,30.95,W,visa,debit,9.0,0,0
3055929,2017-12-18,2018-04-17,50.0,H,american express,credit,120.0,0,0
3172614,2018-01-17,2018-04-17,112.99,W,mastercard,debit,90.0,0,0
3386960,2018-03-27,2018-04-17,117.0,W,visa,debit,21.0,0,0
3010718,2017-12-07,2018-04-17,4.531,C,mastercard,debit,131.0,0,0
3116004,2017-12-30,2018-04-17,82.553,C,mastercard,debit,108.0,0,0
3168267,2018-01-16,2018-04-17,108.5,W,visa,debit,91.0,0,0
3072101,2017-12-21,2018-04-17,171.0,W,visa,debit,117.0,0,0
3319058,2018-03-05,2018-04-17,77.0,W,mastercard,debit,43.0,0,0
3060057,2017-12-19,2018-04-17,57.95,W,visa,debit,119.0,0,0
3358354,2018-03-17,2018-04-17,107.95,W,mastercard,credit,31.0,0,0
3158241,2018-01-12,2018-04-17,39.0,W,visa,debit,95.0,0,0
3218035,2018-02-02,2018-04-17,97.0,W,mastercard,debit,74.0,0,0
3142441,2018-01-07,2018-04-17,61.565,C,visa,debit,100.0,0,0
3204640,2018-01-28,2018-04-17,49.0,W,mastercard,debit,79.0,0,0
2991424,2017-12-02,2018-04-17,150.0,H,visa,credit,136.0,0,0
3156690,2018-01-12,2018-04-17,95.5,W,mastercard,debit,95.0,0,0
3082811,2017-12-23,2018-04-17,34.0,W,visa,debit,115.0,0,0
3403887,2018-04-01,2018-04-17,107.95,W,visa,debit,16.0,0,0
3140034,2018-01-06,2018-04-17,44.5,W,visa,credit,101.0,0,0
3193188,2018-01-24,2018-04-17,39.0,W,visa,debit,83.0,0,0
3143704,2018-01-07,2018-04-17,49.0,W,visa,debit,100.0,0,0
3138904,2018-01-06,2018-04-17,30.0,S,visa,debit,101.0,0,0
3221704,2018-02-03,2018-04-17,311.95,W,visa,debit,73.0,0,0
3121609,2018-01-01,2018-04-17,77.0,W,visa,debit,106.0,0,0
3134495,2018-01-05,2018-04-17,103.95,W,mastercard,debit,102.0,0,0
3096089,2017-12-25,2018-04-17,50.0,R,visa,debit,113.0,0,0
3350569,2018-03-15,2018-04-17,49.0,W,visa,debit,33.0,0,0
3130578,2018-01-04,2018-04-17,20.0,H,visa,credit,103.0,0,0
3142121,2018-01-07,2018-04-17,131.0,W,mastercard,credit,100.0,0,0
3230455,2018-02-05,2018-04-17,7.251,C,visa,debit,71.0,0,0
3375323,2018-03-23,2018-04-17,350.0,W,visa,credit,25.0,0,0
3353110,2018-03-16,2018-04-17,60.0,S,visa,debit,32.0,0,0
3087840,2017-12-24,2018-04-17,117.0,W,visa,debit,114.0,0,0
3437674,2018-04-12,2018-04-17,12.788,C,mastercard,debit,5.0,0,0
3236721,2018-02-07,2018-04-17,59.0,W,visa,debit,69.0,0,0
3250875,2018-02-12,2018-04-17,59.0,W,mastercard,debit,64.0,0,0
3421355,2018-04-07,2018-04-17,29.0,W,visa,debit,10.0,0,0
3038837,2017-12-15,2018-04-17,114.95,W,mastercard,debit,123.0,0,0
2999463,2017-12-05,2018-04-17,50.0,H,visa,debit,22.1,1,1
3253133,2018-02-13,2018-04-17,24.0,W,mastercard,debit,63.0,0,0
3234474,2018-02-07,2018-04-17,10.99,W,visa,debit,69.0,0,0
3116752,2017-12-30,2018-04-17,15.95,W,visa,debit,108.0,0,0
3165653,2018-01-15,2018-04-17,433.0,W,mastercard,credit,92.0,0,0
3268091,2018-02-18,2018-04-17,44.227,C,visa,credit,7.4,1,1
3176639,2018-01-19,2018-04-17,39.0,W,mastercard,debit,88.0,0,0
3193615,2018-01-24,2018-04-17,100.0,R,mastercard,debit,83.0,0,0
3194089,2018-01-25,2018-04-17,92.95,W,mastercard,debit,82.0,0,0
3065594,2017-12-20,2018-04-17,100.0,R,mastercard,credit,118.0,0,0
3068047,2017-12-21,2018-04-17,184.95,W,visa,debit,117.0,0,0
3159575,2018-01-13,2018-04-17,15.0,W,visa,debit,94.0,0,0
3431226,2018-04-10,2018-04-17,58.95,W,visa,debit,7.0,0,0
3392495,2018-03-29,2018-04-17,158.95,W,mastercard,credit,19.0,0,0
3333400,2018-03-09,2018-04-17,146.0,W,visa,debit,39.0,0,0
3212212,2018-01-31,2018-04-17,30.0,S,visa,credit,76.0,0,0
3435582,2018-04-12,2018-04-17,59.0,W,visa,debit,5.0,0,0
3298858,2018-02-28,2018-04-17,34.0,W,mastercard,credit,48.0,0,0
3343135,2018-03-12,2018-04-17,49.0,W,mastercard,debit,36.0,0,0
3141173,2018-01-06,2018-04-17,92.114,C,mastercard,credit,101.0,0,0
3363711,2018-03-19,2018-04-17,57.95,W,visa,debit,29.0,0,0
3090774,2017-12-24,2018-04-17,100.0,H,visa,debit,114.0,0,0
3436027,2018-04-12,2018-04-17,171.0,W,visa,debit,5.0,0,0
3045619,2017-12-16,2018-04-17,117.0,W,visa,debit,122.0,0,0
3385403,2018-03-27,2018-04-17,105.95,W,mastercard,debit,21.0,0,0
3093307,2017-12-25,2018-04-17,26.95,W,visa,debit,113.0,0,0
3023592,2017-12-11,2018-04-17,186.95,W,mastercard,credit,127.0,0,0
3057683,2017-12-19,2018-04-17,150.0,H,visa,credit,119.0,0,0
3149855,2018-01-09,2018-04-17,59.0,W,mastercard,debit,98.0,0,0
3338682,2018-03-11,2018-04-17,39.0,W,visa,debit,37.0,0,0
3191368,2018-01-24,2018-04-17,226.0,W,mastercard,debit,83.0,0,0
3294518,2018-02-27,2018-04-17,117.0,W,visa,debit,49.0,0,0
3178481,2018-01-19,2018-04-17,226.0,W,visa,credit,88.0,0,0
3292882,2018-02-26,2018-04-17,518.5,W,visa,debit,50.0,0,0
3037141,2017-12-14,2018-04-17,59.0,W,mastercard,debit,124.0,0,0
3139799,2018-01-06,2018-04-17,39.0,W,visa,debit,101.0,0,0
3372692,2018-03-22,2018-04-17,18.741,C,visa,credit,26.0,0,0
3084274,2017-12-23,2018-04-17,57.95,W,visa,debit,115.0,0,0
3360614,2018-03-18,2018-04-17,201.0,W,mastercard,debit,10.6,1,1
2990759,2017-12-02,2018-04-17,70.027,C,visa,credit,136.0,0,0
3299441,2018-02-28,2018-04-17,994.95,W,visa,debit,48.0,0,0
3064081,2017-12-20,2018-04-17,209.95,W,visa,credit,118.0,0,0
3431640,2018-04-10,2018-04-17,77.0,W,mastercard,debit,7.0,0,0
3172688,2018-01-17,2018-04-17,150.0,R,visa,credit,90.0,0,0
3054337,2017-12-18,2018-04-17,100.0,H,american express,credit,120.0,0,0
3055993,2017-12-18,2018-04-17,445.0,W,mastercard,debit,120.0,0,0
3280081,2018-02-22,2018-04-17,29.0,W,visa,debit,54.0,0,0
3155490,2018-01-11,2018-04-17,58.95,W,visa,debit,96.0,0,0
3186685,2018-01-22,2018-04-17,161.0,W,mastercard,debit,85.0,0,0
3436702,2018-04-12,2018-04-17,49.0,W,visa,debit,5.0,0,0
3245996,2018-02-10,2018-04-17,27.5,W,visa,debit,66.0,0,0
3290027,2018-02-25,2018-04-17,50.0,H,mastercard,credit,51.0,0,0
3098227,2017-12-26,2018-04-17,48.95,W,visa,debit,112.0,0,0
3446396,2018-04-16,2018-04-17,30.95,W,visa,debit,1.0,0,0
3430393,2018-04-10,2018-04-17,171.0,W,visa,debit,7.0,0,0
3400883,2018-03-31,2018-04-17,49.5,W,mastercard,credit,17.0,0,0
3388369,2018-03-28,2018-04-17,250.0,W,visa,debit,20.0,0,0
3197275,2018-01-26,2018-04-17,25.95,W,visa,debit,81.0,0,0
3018888,2017-12-10,2018-04-17,30.0,H,mastercard,debit,128.0,0,0
3145647,2018-01-08,2018-04-17,30.95,W,mastercard,debit,99.0,0,0
3072083,2017-12-21,2018-04-17,54.5,W,visa,credit,117.0,0,0
3258299,2018-02-15,2018-04-17,10.513,C,mastercard,debit,61.0,0,0
3193624,2018-01-24,2018-04-17,50.0,R,visa,credit,83.0,0,0
3384842,2018-03-26,2018-04-17,25.95,W,visa,debit,22.0,0,0
3273022,2018-02-20,2018-04-17,52.95,W,visa,debit,56.0,0,0
3202751,2018-01-28,2018-04-17,39.0,W,visa,debit,79.0,0,0
3169947,2018-01-16,2018-04-17,57.95,W,visa,debit,91.0,0,0
3064604,2017-12-20,2018-04-17,20.95,W,visa,debit,118.0,0,0
3308852,2018-03-03,2018-04-17,1436.0,W,visa,credit,45.0,0,0
3006624,2017-12-06,2018-04-17,39.0,W,mastercard,debit,132.0,0,0
3109729,2017-12-28,2018-04-17,160.908,C,mastercard,credit,110.0,0,0
3121116,2017-12-31,2018-04-17,59.0,W,visa,debit,107.0,0,0
3316425,2018-03-04,2018-04-17,106.5,W,visa,debit,44.0,0,0
3392227,2018-03-29,2018-04-17,150.0,R,american express,credit,19.0,0,0
3430268,2018-04-10,2018-04-17,45.95,W,visa,debit,7.0,0,0
3309133,2018-03-03,2018-04-17,108.5,W,mastercard,debit,45.0,0,0
3248577,2018-02-11,2018-04-17,25.0,H,visa,credit,65.0,0,0
3213643,2018-01-31,2018-04-17,1164.95,W,mastercard,credit,76.0,0,0
3388500,2018-03-28,2018-04-17,57.95,W,discover,credit,20.0,0,0
3128792,2018-01-03,2018-04-17,200.0,R,mastercard,credit,25.9,1,1
3239741,2018-02-08,2018-04-17,33.534,C,visa,debit,13.9,1,1
3094987,2017-12-25,2018-04-17,117.0,W,visa,credit,113.0,0,0
3341170,2018-03-12,2018-04-17,171.0,W,mastercard,debit,36.0,0,0
3173125,2018-01-17,2018-04-17,129.95,W,visa,debit,90.0,0,0
3015450,2017-12-09,2018-04-17,221.0,W,visa,debit,129.0,0,0
3222436,2018-02-03,2018-04-17,107.95,W,mastercard,debit,73.0,0,0
3389087,2018-03-28,2018-04-17,50.0,H,visa,credit,20.0,0,0
3434961,2018-04-11,2018-04-17,209.95,W,visa,debit,6.0,0,0
3342403,2018-03-12,2018-04-17,161.0,W,visa,debit,36.0,0,0
3051484,2017-12-17,2018-04-17,67.95,W,visa,debit,121.0,0,0
3102822,2017-12-26,2018-04-17,25.95,W,visa,debit,112.0,0,0
3248733,2018-02-11,2018-04-17,67.187,C,visa,debit,65.0,0,0
3361291,2018-03-18,2018-04-17,14.138,C,mastercard,credit,30.0,0,0
3352748,2018-03-16,2018-04-17,57.95,W,visa,debit,32.0,0,0
3160429,2018-01-13,2018-04-17,108.95,W,visa,debit,94.0,0,0
3394073,2018-03-29,2018-04-17,117.0,W,mastercard,credit,19.0,0,0
3004656,2017-12-06,2018-04-17,57.95,W,visa,debit,132.0,0,0
3283760,2018-02-23,2018-04-17,30.0,W,mastercard,debit,53.0,0,0
3260674,2018-02-15,2018-04-17,240.0,W,mastercard,credit,61.0,0,0
3185571,2018-01-21,2018-04-17,280.0,W,mastercard,debit,86.0,0,0
3192301,2018-01-24,2018-04-17,34.0,W,visa,debit,83.0,0,0
3078109,2017-12-22,2018-04-17,100.0,R,visa,credit,116.0,0,0
3394977,2018-03-30,2018-04-17,29.0,W,mastercard,debit,18.0,0,0
3441638,2018-04-14,2018-04-17,155.47,W,visa,credit,3.0,0,0
3122529,2018-01-01,2018-04-17,150.0,R,visa,credit,106.0,0,0
3348434,2018-03-14,2018-04-17,87.95,W,mastercard,debit,34.0,0,0
3418055,2018-04-05,2018-04-17,25.95,W,mastercard,debit,12.0,0,0
3282732,2018-02-23,2018-04-17,82.95,W,visa,debit,53.0,0,0
2991009,2017-12-02,2018-04-17,35.95,W,mastercard,debit,136.0,0,0
3339105,2018-03-11,2018-04-17,59.0,W,visa,debit,37.0,0,0
3068794,2017-12-21,2018-04-17,84.652,C,mastercard,debit,117.0,0,0
3330774,2018-03-09,2018-04-17,114.95,W,discover,credit,39.0,0,0
3114563,2017-12-30,2018-04-17,87.95,W,mastercard,debit,108.0,0,0
3283945,2018-02-23,2018-04-17,59.95,W,mastercard,debit,53.0,0,0
3291387,2018-02-26,2018-04-17,39.0,W,visa,debit,50.0,0,0
3269421,2018-02-18,2018-04-17,161.0,W,visa,debit,58.0,0,0
3023394,2017-12-11,2018-04-17,177.29,C,visa,debit,127.0,0,0
3231550,2018-02-06,2018-04-17,53.97,W,visa,debit,70.0,0,0
3199292,2018-01-26,2018-04-17,92.0,W,mastercard,credit,39.5,1,1
3261954,2018-02-16,2018-04-17,6.707,C,visa,debit,60.0,0,0
3322102,2018-03-06,2018-04-17,107.95,W,visa,debit,42.0,0,0
3277829,2018-02-21,2018-04-17,334.95,W,visa,debit,55.0,0,0
3078054,2017-12-22,2018-04-17,148.548,C,visa,credit,116.0,0,0
3295470,2018-02-27,2018-04-17,51.0,W,visa,debit,49.0,0,0
3003487,2017-12-06,2018-04-17,25.0,W,visa,debit,132.0,0,0
3221753,2018-02-03,2018-04-17,50.511,C,visa,credit,73.0,0,0
